question_id,answer_type,question,generated_sql,qwen35_ans,det_ans,v1_1_ans,match_exact,match_close
HV-IC-0037,percent,"On the PMP assignment Farhan Roy is managing for Stormwater Drainage — Gujarat Pkg-80, what is the defensible collection percentage out of 100 against the total billed to the client?",,,99.78,99.78,True,True
HV-IC-0038,percent,"I’m still learning the ropes on our billing side, but while going through the Six Sigma Black Belt file for Uma Sen’s School Building — Delhi Pkg-154 assignment, what percentage out of 100 has actually cleared against the total billed for that client?",,,78.13,78.13,True,True
HV-IC-0039,money,"Sunita Joshi’s PMP issued 2021-03-10—what’s the combined value of the projects she led that completed after that date, since we need it to lock the bid submission?","SELECT SUM(p.value_inr) AS combined_value
FROM projects p
JOIN engineers e ON p.lead_engineer = e.name
WHERE e.name = 'Sunita Joshi'
  AND p.completion_date > '2021-03-10';",,507900000.0,507900000.0,True,True
HV-IC-0040,money,"on delhi pkg 37 wtp augmentation, who’s the client and what’s the average size across all their finished work?",,,450694737.0,450694737.0,True,True
HV-IC-0041,money,"That number for the UP irrigation account looks too clean, so what's the actual gap between what they've sanctioned and what we've billed?",SELECT (total_awarded_inr - total_invoiced_inr) AS gap FROM clients WHERE client_name = 'UP irrigation',,-377309701.0,-377309701.0,True,True
HV-IC-0043,money,"Public Works Department, Govt of Gujarat is the account I'm looking at, and I want to make sure I'm reading the numbers right—could you walk me through how to work out the shortfall between the approved contract totals and the amounts we've actually billed?",,,233820699.0,233820699.0,True,True
HV-IC-0044,money,"imran joshi six sigma black belt project, what’s the rupee gap between avg and median, negative if avg dips?",,,-192266667.0,-192266667.0,True,True
HV-IC-0045,days,"I’m fairly certain Jaya Desai’s PMP for the Odisha Pkg-59 stormwater drainage package was issued on March 10th, 2021, but could you confirm whether my recollection is right on how many days actually passed from that date until the project wrapped up?",,,710.0,710.0,True,True
HV-IC-0046,money,"Lakshya Engineering & Construction, what is the exact difference in value between our largest completed project and the second-largest?",,,658300000.0,658300000.0,True,True
HV-IC-0048,money,Could you please calculate the aggregate value of the works Suresh Desai led that reached completion after his PMP was issued on 2021-03-10?,,,128700000.0,128700000.0,True,True
HV-IC-0049,money,"Public Works Department, Govt of Maharashtra assignments look off on the first pass, but could you actually filter for anything at or over the twenty-six crore mark and run the proper calculation?",,,1424100000.0,1424100000.0,True,True
HV-IC-0050,money,Trishakti Power Generation Corporation’s 2022 and 2023 work completed values are needed right now for the submission cutoff—what’s the actual dollar amount between them?,,,534500000.0,534500000.0,True,True
HV-IC-0051,money,"I’m still wrapping my head around how we pull these numbers, but what’s the actual gap between the 2015 and 2017 value of work completed for the Central Works & Buildings Bureau?",,,309700000.0,309700000.0,True,True
HV-IC-0053,percent,"I’m pretty sure I saw the collection percentage out of 100 for the PMP assignment Jaya Desai is handling on STP — Gujarat Pkg-66 somewhere, but I’m not entirely sure my recollection is right—what’s the exact percentage out of 100 against the total billed for that client?",,,55.5,55.5,True,True
HV-IC-0054,money,"lakshmi ghosh’s pmp on the gujarat steel truss bridge, what’s the total value of all completed trishakti work?",,,8563200000.0,8563200000.0,True,True
HV-IC-0055,money,"Mahanadi Steel Corporation was the account I was looking at earlier, and I’m trying to verify my memory—was the shortfall between the total contract value and what we’ve actually billed significantly higher than I thought?","SELECT (total_awarded_inr - total_invoiced_inr) AS shortfall 
FROM clients 
WHERE client_name = 'Mahanadi Steel Corporation';",2728865201.0,2728865201.0,2728865201.0,True,True
HV-IC-0056,money,"When finalizing the audit-ready submission for the National Expressway Development Authority, what is the combined value of all completed assignments Priya Patel has delivered under her PMP credential, beginning with her work on the Anganwadi Centre — Jharkhand Pkg-142 project?",,,2942400000.0,293500000.0,False,False
HV-IC-0059,days,"PMP issued 2021-03-10; Rahul Menon; Material Handling Plant — Uttar Pradesh Pkg-89, cross-checking against the timeline, what is the count from that issue to the completion date?",,,676.0,676.0,True,True
HV-IC-0061,money,"Subarnarekha Valley Corporation shows works we have awarded, so what is the amount after we cross-check against the invoice amount?",,,3698700000.0,2293370196.0,False,False
HV-IC-0063,count,"pmp; manoj verma, how many work categories has he actually wrapped up?",,,2.0,2.0,True,True
HV-IC-0071,money,"Jharkhand Municipal Corporation is where I’m starting, but I’m still learning how we track bid credentials—how much more contract value would we need to bring in to hit the fifty crore mark?",,,28500000.0,28500000.0,True,True
HV-IC-0072,money,"I’m still finding my footing on the bid desk, so when I pull up Sanjay Joshi’s PMP for the West Bengal Pkg-73 STP, how do I calculate the rupee difference between the mean and median contract values for the completed works under that client, and should I leave the result negative if the mean is lower?",,,40288889.0,40288889.0,True,True
HV-IC-0073,percent,What percentage out of 100 collected aligns with the billed amounts for the Farhan Khan PMP on Highway Construction — Rajasthan Pkg-77 versus the invoiced totals?,,,78.18,78.18,True,True
HV-IC-0074,count,"PMP; Rohit Singh, please advise on the count of separate work categories he has concluded.","SELECT COUNT(DISTINCT p.category) 
FROM projects p
JOIN engineers e ON p.lead_engineer = e.emp_id
WHERE e.name = 'Rohit Singh' AND p.completion_date IS NOT NULL;",,2.0,2.0,True,True
HV-IC-0076,days,"rahul das mp pkg-49 rigid pavement pmp issued march 10 2021, days to completion?",,,1449.0,1449.0,True,True
HV-IC-0080,percent,"I’m checking the initial figure for Tanvir Menon’s Six Sigma Black Belt work on the STP — Jharkhand Pkg-94, but it doesn’t align with the actual cash movement, so what’s the real collection percentage out of 100 against the total billed after the proper adjustment?",,,78.13,78.13,True,True
HV-IC-0081,money,I’m trying to check my memory on Kavita Reddy’s PMP from 2021-03-10—was the combined value of the projects she led that finished after that date exactly what I’m recalling?,,,430100000.0,430100000.0,True,True
HV-IC-0082,money,"neha’s pmp bituminous overlay odisha pkg-35, what’s the average size across all our finished work for that client?",,,207675000.0,207675000.0,True,True
HV-IC-0085,money,"I’m pretty sure Suvarna Projects Limited’s work completed value was sitting near 380 crores back in 2018, but I want to verify my recollection—what’s the actual variance between that 2018 number and their 2021 figure?",,,783700000.0,-783700000.0,False,False
HV-IC-0086,money,"Tanvir Malhotra’s PMP for the Jharkhand Pkg-78 flyover shows a quick read that doesn’t track, so once you actually pull the client’s completed works and run the proper mean against the median, how much larger is the mean in rupees and should I leave it negative if the mean dips below the median?",,,202266667.0,202266667.0,True,True
HV-IC-0088,money,"Kavita Reddy’s PMP for the Process Piping Package — Delhi Pkg-75 is in my hand, but I’m still figuring out the bid desk workflow, so how do I actually calculate the rupee difference between the average and median for every completed job under that client, and should I leave it negative if the average turns out smaller?",,,240294737.0,240294737.0,True,True
HV-IC-0090,money,"sunita joshi’s six sigma black belt on rigid pavement delhi pkg-28, what’s the combined value of completed suvarna work?",,,2341700000.0,2341700000.0,True,True
HV-IC-0091,count,"PMP; Pooja Sen, I’m still getting used to how we log finished assignments here—just to make sure I’m tracking this right, how many different work categories has she actually brought to a close?",,,2.0,1.0,False,True
HV-IC-0092,money,"Jal Nigam, Uttar Pradesh: by how much does our largest completed contract exceed the second-biggest, needed to lock the bid before the cutoff?",,,495900000.0,495900000.0,True,True
HV-IC-0093,money,"I’m still getting my head around how we track client history, but when I pull up Deepa Chatterjee’s PMP file for Hospital Block — West Bengal Pkg-18, I only see the numbers for that single site—how do I find the overall average for every project we’ve actually finished for whoever hired us for that one?",,,277757143.0,378625000.0,False,False
HV-IC-0095,percent,"National Expressway Development Authority — what’s the out-of-100 figure for the projects that have a testimonial, as I need it locked in before the submission deadline?",,,88.89,78.0,False,False
HV-IC-0096,money,"That number on Jaya Desai’s PMP for Stormwater Drainage — Odisha Pkg-59 only covers this single site, but I need the proper baseline—what’s the mean across all our finished work for the client who brought us on board?",,,1661400000.0,207675000.0,False,False
HV-IC-0097,percent,"Neha Chopra PMP Highway Construction — Maharashtra Pkg-91 billing versus collection, what is the collection percentage out of 100 against the billing total?",,,78.13,78.13,True,True
HV-IC-0098,money,"Meera Roy’s PMP credential (PMI-200011) started on the Process Piping Package — Delhi Pkg-82 for Subarnarekha Valley Corporation, but what’s the combined value of every completed assignment she’s delivered to them before we hit the submission cutoff?",,,3698700000.0,414200000.0,False,False
HV-IC-0099,money,"Sunita Joshi’s Six Sigma Black Belt project on Rigid Pavement — Delhi Pkg-28 shows a single-site figure, but I’m fairly certain that’s just the local snapshot—what’s the actual mean across all the completed work we’ve delivered for whoever brought us on for this one?",,,2341700000.0,260188889.0,False,False
HV-IC-0100,money,"Regarding Meera Chatterjee’s PMP for the Rigid Pavement — Jharkhand Pkg-56, could you please calculate the rupee difference between the mean and median contract values for all completed assignments under the originating client, and record the figure as negative if the mean falls below the median?",,,115433333.0,115433333.0,True,True
HV-IC-0104,money,"I saw the preliminary number you ran for Mega Infrastructure Authority, but that doesn’t look right—did you actually cross-check the final completed values to see how much the largest one exceeds the second?",,,1034200000.0,1034200000.0,True,True
HV-IC-0105,money,"Trishakti Power Generation Corporation has a few bids hitting the twenty-five crore mark, but I need the combined value of those clearing that threshold before the submission window closes—can you pull that figure for me?",,,7548200000.0,7548200000.0,True,True
HV-IC-0110,percent,"I’m just grabbing Deepa Chatterjee’s PMP for the Institutional Building — Gujarat Pkg-32 and I’m still figuring out how we log this, so what’s the collection percentage out of 100 against the total billed?",,,89.19,89.19,True,True
HV-IC-0111,money,"Regarding Meera Roy’s PMP credential (PMI-200011) and her current Hydro Tunnel — Jharkhand Pkg-117 engagement for Arunodaya Infrastructure, could you please provide the aggregate value of all completed work she has delivered to that client?",,,2219900000.0,697900000.0,False,False
HV-IC-0112,money,"I need to lock down the exact difference in completed work value for the Public Health Engineering Dept, Odisha between 2023 and 2024—what’s the precise figure?",,,159600000.0,159600000.0,True,True
HV-IC-0114,count,"PMP; Suresh Das, I’m still getting used to how we track his finished assignments—could you let me know how many different work categories he’s actually seen through to the end?",,,2.0,2.0,True,True
HV-IC-0115,money,"I suspect that number on Meera Banerjee’s PMP for the Pumping Station — Tamil Nadu Pkg-16 only covers this specific site, so what’s the properly-derived average size across all the completed work we’ve delivered for whoever brought us on board?",,,611100000.0,611100000.0,True,True
HV-IC-0118,days,"I’m reviewing Meera Roy’s March 10th PMP for the Jharkhand hydro tunnel package, but that initial issue date doesn’t match the actual project window I’m seeing—can you calculate the real elapsed period from when that certification was issued until the tunnel work wrapped up?",,,854.0,374.0,False,False
HV-IC-0119,money,"The submission deadline is closing, so what’s the average size of every work we’ve completed for whoever brought us on board for the Water Treatment Plant — Rajasthan Pkg-58, since Tanvir Menon’s PMP only shows the local snapshot?",,,326300000.0,326300000.0,True,True
HV-IC-0120,money,"Trishakti Power Generation Corporation is the account under review, and could you please confirm the unbilled remainder after comparing the total awarded contract value against our submitted claims?",,,8563200000.0,6999776500.0,False,False
HV-IC-0121,days,"I’ve got the March 10th PMP for Meera on the Jharkhand Pkg-29 ROB assignment, but the usual gap doesn’t add up—could you run the actual count from that certification date to the final completion mark?",,,854.0,854.0,True,True
HV-IC-0122,money,"National Expressway Development Authority’s 2017 completed work value is a bit fuzzy in my memory, but I want to confirm my impression—what’s the actual gap between that 2017 figure and their 2021 total?",,,2367005768.0,237500000.0,False,False
HV-IC-0123,count,"PMP; Suresh Desai, please confirm the exact count of distinct work categories he has personally directed from initiation through to final delivery.","SELECT COUNT(DISTINCT category) 
FROM projects 
WHERE lead_engineer = 'Suresh Desai';",5.0,5.0,5.0,True,True
HV-IC-0124,money,"Mega Infrastructure Authority; excluding water treatment—I’m seeing the headline figure, but that’s clearly inflated by the treatment projects, so what’s the actual sum once we carve that out?",,,3849600000.0,3849600000.0,True,True
HV-IC-0125,money,Suvarna Projects Limited; excluding water supply — what’s the final tally for the rest before we lock the bid?,,,2303100000.0,2303100000.0,True,True
HV-IC-0127,money,"I’m up against a submission deadline for the Irrigation & Waterways Dept, Govt of West Bengal, so what’s the outstanding contract value we still need to secure from them to clear the 120 Cr credential threshold?",,,33000000.0,33000000.0,True,True
HV-IC-0129,money,"I just picked up the Mahanadi Steel Corporation file and I’m still getting used to how we track these, so could you give me the combined value of just the bids that clear the twenty-one crore mark or higher?",,,2656900000.0,2656900000.0,True,True
HV-IC-0130,money,"Amit, on your pkg-104 highway pmp, what’s the combined value of all completed subarnarekha work?",,,3698700000.0,3698700000.0,True,True
HV-IC-0131,money,Maharashtra Municipal Corporation; excluding industrial epc — what is the net contract value for the remaining scope ahead of our submission deadline?,,,592700000.0,592700000.0,True,True
HV-IC-0134,money,"I'm still getting my bearings on the bid desk, but with Jaya Desai's PMP for the Rail Tunnel — West Bengal Pkg-123 in hand, could you walk me through how to calculate the mean size across all the finished projects we've delivered for the client who originally brought us on for that tunnel?",,,450694737.0,450694737.0,True,True
HV-IC-0135,money,"mahanadi steel corp, minus the water treatment side, what’s the actual value?",,,3296200000.0,2833800000.0,False,False
HV-IC-0136,days,Divya Singh’s March 10th 2021 PMP for the West Bengal Pkg-13 lift irrigation package—what’s the count from that issue date to the final completion mark?,,,86.0,86.0,True,True
HV-IC-0138,money,"Irrigation & Waterways Dept, Govt of Rajasthan is the account I’m reviewing, but that first number I pulled doesn’t seem right—could you clarify the actual gap between the total value we’ve secured and the amount we’ve billed so far?",,,1901520126.0,1901520126.0,True,True
HV-IC-0139,percent,Can you confirm the collection percentage out of 100 for the Naveen Roy PMP on Handpump Installation — Uttar Pradesh Pkg-134 relative to the total billed?,,,99.05,99.05,True,True
HV-IC-0140,money,Mahanadi Steel Corporation; excluding bridges flyovers — what figure aligns with the cross-check against the ledger?,,,2615300000.0,2615300000.0,True,True
HV-IC-0144,days,"I’m prepping the audit response, so what is the exact span from the March 10, 2021 PMP issuance for Naveen Roy’s Handpump Installation — Uttar Pradesh Pkg-134 through to the final completion date?",,,1388.0,1388.0,True,True
HV-IC-0146,percent,"The posted collection number for Kavita Reddy’s PMP on the Flyover — Gujarat Pkg-8 looks too high compared to what we’re actually receiving, so what percentage of everything billed to that client has actually been collected — as a number out of 100, not a fraction — once the proper adjustments are factored in?",,,88.9,55.5,False,False
HV-IC-0148,money,"Arunodaya Infrastructure, 2022 to 2023, what's the swing in work completed value before the submission cutoff?",,,2219900000.0,-49800000.0,False,False
HV-IC-0149,money,"Rohit Singh’s PMP credential (PMI-200033) is currently logged on the Check Dam — Maharashtra Pkg-69 for Peninsular Petroleum Corporation, but I have a strong feeling just taking that single project figure is going to throw off our bid—what’s the actual combined value of every completed assignment he’s delivered to them?",,,1366300000.0,491100000.0,False,False
HV-IC-0151,money,Cross-checking Naveen Roy’s PMP issued 2021-03-10 against the project entries—what is the sum of the values for the works he led that finished after that date?,,,769000000.0,769000000.0,True,True
HV-IC-0153,money,"Could you please sum the values of all completed assignments Pooja Sen has delivered to Trishakti Power Generation Corporation under her Six Sigma Black Belt credential (6S-500157), which is currently active on the Water Treatment Plant — West Bengal Pkg-44 project?",,,8563200000.0,178300000.0,False,False
HV-IC-0155,money,"What’s the auditable net shift in the Public Works Department, Govt of Gujarat’s completed work value from 2016 through 2018?",,,688500000.0,-197200000.0,False,False
HV-IC-0156,money,"Trishakti Power Generation Corporation bids are being reconciled against the forty crore threshold, what is the sum?",,,7013400000.0,7013400000.0,True,True
HV-IC-0158,days,"Can you calculate the exact span from Farhan Rao’s March 10, 2021 PMP issue date to the final completion mark for the Uttar Pradesh Pkg-26 material handling plant before we hit the submission deadline?",,,1589.0,1589.0,True,True
HV-IC-0159,money,Trishakti Power Generation Corporation; excluding expressways — what value matches the cross-check against the portfolio?,,,4563200000.0,4563200000.0,True,True
HV-IC-0161,days,"What is the defensible interval from the March 10, 2021 PMP issuance for Rahul Menon’s West Bengal Pkg-120 highway tunnel scope through to the final completion date?",,,801.0,801.0,True,True
HV-IC-0162,money,"I’m looking at Amit Iyer’s Six Sigma Black Belt certification for the Community Centre — Uttar Pradesh Pkg-139, but the summary figure feels off, so could you actually derive the rupee gap between the average and median contract values for every completed job under that commissioning client, and leave it negative if the average falls short?",,,115433333.0,115433333.0,True,True
HV-IC-0163,money,"Trishakti Power Generation Corporation shows the contract value, and what is the amount after cross-checking against the claims we submitted?",,,8563200000.0,6999776500.0,False,False
HV-IC-0164,days,gautam joshi’s jharkhand pkg-61 material handling plant pmp from mar 10 2021—what’s the count to final completion?,,,143.0,143.0,True,True
HV-IC-0167,money,"Suresh Das’s Six Sigma Black Belt for the Road Widening — Odisha Pkg-98 points to a specific client, so what’s the rupee difference between the average and median contract values for all their completed jobs right now, and should I leave it negative if the average dips below the median before we lock this submission?",,,31185714.0,31185714.0,True,True
HV-IC-0172,money,"National Expressway Development Authority, what is the exact surplus value separating our highest-value finished contract from the next one down?",,,2942400000.0,880700000.0,False,False
HV-IC-0175,money,"I’m still learning how we roll up client totals, but while I’m looking at Jaya Desai’s PMP credential (PMI-200032) for the Stormwater Drainage — Odisha Pkg-59 project, what’s the full tally of every completed scope she’s delivered to the Public Health Engineering Dept, Odisha?",,,1661400000.0,468900000.0,False,False
HV-IC-0176,money,"You handed me the Suvarna Projects Limited figure, but that’s clearly still carrying the industrial epc piece, so what’s the real number once that segment is stripped out?",,,2341700000.0,2097600000.0,False,False
HV-IC-0177,days,"I'm still getting my bearings here, but could you walk me through how to calculate the total elapsed time from Sunita Joshi's March 10th PMP issue for the Uttar Pradesh Pkg-25 residential quarters through to the final completion date?",,,87.0,87.0,True,True
HV-IC-0178,money,"sanjay joshi's pmp: what's the rupee mean-median gap for his client's works, negative if mean is lower?",,,40288889.0,76950000.0,False,False
HV-IC-0180,percent,"Suvarna Projects Limited — could you please confirm the final numerical value representing the share of our projects with that client that are supported by client testimonials, expressed as a whole number out of one hundred?",,,88.89,100.0,False,False
HV-IC-0181,count,"PMP; Lakshmi Ghosh, what is the verified count of separate work categories she has successfully closed out?",,,5.0,5.0,True,True
HV-IC-0183,money,"I’m still new to the Jal Nigam, Jharkhand portfolio—could you tell me what the year-on-year movement in completed work value was between 2020 and 2021?",,,661000000.0,-661000000.0,False,False
HV-IC-0184,money,Naveen Roy's PMP for the Cable Stayed Bridge — Delhi Pkg-109; what's the mean size across the client's full portfolio?,,,783183333.0,783183333.0,True,True
HV-IC-0185,money,"Could you please confirm the aggregate figure for our Jal Nigam, Uttar Pradesh engagements after the water treatment division is excluded?",,,1667500000.0,1383400000.0,False,False
HV-IC-0186,money,"That first total I saw for Lakshmi Ghosh’s PMP issued 2021-03-10 clearly includes earlier completions, so what’s the actual combined value of just the works she led that finished after that March date?",,,201600000.0,201600000.0,True,True
HV-IC-0188,money,"pooja sen’s six sigma bb for hydro tunnel pkg-105 is site-specific, so what’s the average size for her client?",,,260188889.0,260188889.0,True,True
HV-IC-0189,percent,"Meera Roy's PMP for the Sewerage Network — Odisha Pkg-17 — I'm locking the bid submission and need it for the deadline, so what percentage of everything billed to that client has actually been collected — as a number out of 100, not a fraction?",,,82.4,82.4,True,True
HV-IC-0191,money,"Subarnarekha Valley Corporation is still a bit of a puzzle for me, so could you help me figure out the combined value of only the assignments that clear the two crore mark?",,,3679300000.0,3679300000.0,True,True
HV-IC-0192,money,"National Expressway Development Authority — I’m still getting used to how we pull these numbers for the bid pack, so could you show me how to calculate how much our biggest finished contract there exceeds the next one down?",,,2942400000.0,880700000.0,False,False
HV-IC-0193,money,"Neha Chopra’s PMP for the WTP Augmentation — West Bengal Pkg-30 is on my desk, but the number currently attached to her client’s completed jobs feels off, so could you actually derive how much larger the average contract value of the works we’ve finished for that commissioning client is than the median, and leave it negative if the average is the smaller of the two?",,,1944300000.0,116057143.0,False,False
HV-IC-0194,money,"Pooja Bose’s PMP for the Process Piping Package — Tamil Nadu Pkg-54 is hitting the cutoff, so what’s the rupee difference showing how much larger the average contract value of the works we’ve completed for that commissioning client is than the median, and should I leave it negative if the average is the smaller of the two before we lock this?",,,3296200000.0,61833333.0,False,False
HV-IC-0195,percent,"I’m just pulling Suresh Chopra’s PMP for the Substation EPC — Tamil Nadu Pkg-19 and I’m still getting my bearings with how we track incoming payments, so what percentage of everything billed to that client has actually been collected — as a number out of 100, not a fraction?",,,89.19,89.19,True,True
HV-IC-0196,money,"gujarat pw, how much more value do we need to clear the 70cr bar?",,,11500000.0,11500000.0,True,True
HV-IC-0197,money,"Maharashtra Municipal Corporation is showing a total awarded figure that feels off, so can you calculate the actual shortfall between the contract value and what we’ve actually billed?",,,532779688.0,532779688.0,True,True
HV-IC-0198,money,"Arunodaya Infrastructure is pulling up a number that doesn’t seem right, so could you actually work out the true gap between the full value of their awards and what we’ve managed to invoice?",,,2219900000.0,1033673040.0,False,False
HV-IC-0200,days,how many days from lakshmi's mar 10 pmp for the mp pkg-42 widening to handover?,,,438.0,438.0,True,True
HV-IC-0202,money,"Public Health Engineering Dept, Odisha has several assignments in our pipeline, and could you please calculate the combined value of those meeting or exceeding the eighteen crore threshold for our submission file?",,,1621500000.0,1621500000.0,True,True
HV-IC-0206,money,"I’m reviewing Uma Sen’s Six Sigma Black Belt (6S-500164) on the Check Dam — Uttar Pradesh Pkg-83 scope for Mega Infrastructure Authority, but I suspect just pulling that single project figure is going to skew our bid—what’s the actual combined value of every completed assignment she’s delivered to them?",,,4098100000.0,314000000.0,False,False
HV-IC-0207,money,"Regarding Meera Roy’s PMP issued on March 10, 2021, what is the precise combined value of the assignments she directed that wrapped up after that date?",,,1083300000.0,1083300000.0,True,True
HV-IC-0209,money,"Amit Iyer’s Six Sigma Black Belt certification for the Rigid Pavement — Madhya Pradesh Pkg-7 job is on my desk, but the number currently circulating feels like a localized read rather than the full picture, so what’s the actual mean size across every project we’ve wrapped up for the organization that brought us in for that pavement contract?",,,274683333.0,274683333.0,True,True
HV-IC-0211,money,Could you verify the completed work values for Jharkhand Municipal Corporation in 2013 and 2017 so I can back up the variance for the audit?,,,17900000.0,-17900000.0,False,False
HV-IC-0212,money,"mega infra authority contract value seems high, can you pull the delta between secured work and submitted claims?",,,3336816908.0,3337616908.0,False,False
HV-IC-0214,percent,"Starting from the PMP for Amit Iyer on the Community Centre — Uttar Pradesh Pkg-139, I suspect the collection rate currently showing is inflated, so what’s the verified collection percentage out of 100 for that client’s total billed amount once we factor in the actual receipts?",,,78.63,78.63,True,True
HV-IC-0215,money,"Subarnarekha Valley Corporation is coming up in the auditor review, so what’s the defensible figure we should quote once we filter out the industrial epc work?",,,3698700000.0,3284500000.0,False,False
HV-IC-0216,money,"peninsular petroleum corporation excluding buildings, what’s the actual sum we’re quoting?",,,831800000.0,1072300000.0,False,False
HV-IC-0217,money,"Meridian Constructors & Co., please confirm how much our largest work exceeds the second-largest.",,,1067200000.0,1067200000.0,True,True
HV-IC-0220,money,"peninsular petroleum bids, what’s the sum for anything hitting fifteen crore or more?",,,1366300000.0,1077300000.0,False,False
HV-IC-0222,money,"priya's rajasthan pumping station pmp is here, but what's the mean volume across all her client's completed jobs?",,,326300000.0,326300000.0,True,True
HV-IC-0223,money,"Trishakti Power Generation Corporation is hitting the submission window, so what’s the actual sum we need to quote right now after dropping the industrial epc work?",,,8563200000.0,7802900000.0,False,False
